lakeid,sampledate,depth,ca,mg,na,k,cl,so4,cond,ph,alk,dic,temp,bicarbonate,carbonate,alkalinity_calculated,hplus,cations,anions,Lake,Lat,Long
AL,1985-08-19,0,0.5441888317780329,0.25262291709524787,0.06068119535429988,0.017775845311780655,0.007756748371082842,0.05673537372475536,84.5,7.48,785.5,9.754999999999999,18.1,0.749637303568389,0.0018186764535384333,751.5961914360163,3.3113112148259076e-5,0.8752687895393613,0.8159481021177656,Allequash Lake,46.038317,89.620617
AL,1985-08-19,4,0.5474325066121064,0.25344579304669823,0.060898690678150416,0.017392193974116326,0.007333653005387414,0.056006662502602535,85,7.46,788,9.61,18.1,0.7358972564252615,0.0017049884367723936,737.7329965915137,3.467368504525316e-5,0.8791691843110714,0.8009425603700238,Allequash Lake,46.038317,89.620617
AL,1985-08-19,7,0.550426667997405,0.25180004114379756,0.060898690678150416,0.01841526420788787,0.007333653005387414,0.05579845929627317,85,7.45,787,9.97,18.1,0.7620762394550366,0.001725451177666531,763.9276578963768,3.5481338923357534e-5,0.88154066402724085,0.8269338029343637,Allequash Lake,46.038317,89.620617
AL,1986-03-03,0.5,0.5379509955586605,0.24686278543509566,0.0695985036321719,0.017136426415673436,0.00987222519955998,0.09452425567353737,NA,6.79,735,11.16,NA,NA,NA,NA,1.6218100973589298e-4,0.8715487110416016,NA,Allequash Lake,46.038317,89.620617
AL,1986-03-03,4,0.5524227755876041,0.25591442090104916,0.06307364391665579,0.01841526420788787,0.011000479508081121,0.09015198834062045,88,6.67,739,11.99,2.6,0.5708523614834469,1.3804506955317395e-4,570.7807074749721,2.1379620895022324e-4,0.8898261046131969,0.6721428744017016,Allequash Lake,46.038317,89.620617
AL,1986-03-03,7,0.6978891162233644,0.3061098539395186,0.06872852233676977,0.021100823571538186,0.010577384142385692,0.07349573183427024,106,6.825,1049.5,15.41,4.2,0.8542557717164023,3.109861596332025e-4,854.4244279912035,1.4962356560944327e-4,1.093828316071191,0.9386398738526914,Allequash Lake,46.038317,89.620617
AL,1986-04-24,0,0.501023005139977,0.23205101830898991,0.06002870938274826,0.01764796153255921,0.00874397089103884,0.08140745367478659,80,7.65,695,9.01,8.4,0.7017793408558363,0.001943311192657799,703.8101968262407,2.238721138568338e-5,0.8107506943642744,0.7938740766143195,Allequash Lake,46.038317,89.620617
AL,1986-04-24,4,0.5035181396277258,0.23081670438181445,0.0595937187350472,0.01752007775333777,0.009167066256734267,0.08130335207162191,80,7.645,698,8.9,7.8,0.6920984144730221,0.0018610945462393719,694.0395909152876,2.264644307593062e-5,0.8114486404979252,0.7844299273476176,Allequash Lake,46.038317,89.620617
AL,1986-04-24,7,0.5060132741154748,0.2254680106973874,0.06002870938274826,0.01764796153255921,0.009026034468169125,0.08161565688111597,80,7.56,698,9.05,7.5,0.693810025104969,0.0015203208726624516,695.3842979311016,2.754228703338169e-5,0.8091579557281697,0.7859720373269166,Allequash Lake,46.038317,89.620617
AL,1986-08-13,0,0.5539198562802534,0.26332030446410204,0.06481360650746008,0.015857588623459002,0.008179843736778268,0.07162190297730585,83,8.375,765.5,8.99,20.8,0.7337402594081242,0.014884940978556417,750.3466859399675,4.216965034285822e-6,0.8979113558752745,0.8284269471007647,Allequash Lake,46.038317,89.620617
AL,1986-08-13,4,0.5439393183292579,0.265788932318453,0.06524859715516117,0.01688065885723055,0.008179843736778268,0.06974807412034145,NA,8,772,9.36,20.5,0.7580108978076333,0.006440653713127,765.1497919195366,1e-5,0.8918575066601027,0.84237946937788,Allequash Lake,46.038317,89.620617
AL,1986-08-13,6,0.6352612405808673,0.2822464513474594,0.06698855974596546,0.020205637116988084,0.009590161622429696,0.05621486570893192,94,7.09,915,12.93,18.5,0.89629588571602,8.943491902485863e-4,897.1790555415298,8.128305161640995e-5,1.0047018887912802,0.9629952622376302,Allequash Lake,46.038317,89.620617
AL,1986-08-13,7,0.8194021657767354,0.3028183501337174,0.06742355039366654,0.025320988285845825,0.01212873381660226,0.019987507807620236,120,6.96,1299,17.86,15.6,1.1570758773592116,7.970059209575696e-4,1157.8009741802293,1.0964781961431851e-4,1.2149650545899653,1.1899891249043917,Allequash Lake,46.038317,89.620617
AL,1986-11-03,0,0.541444183841509,0.25344579304669823,0.06742355039366654,0.01688065885723055,0.008179843736778268,0.06516760358109515,85,7.71,772,9.52,6.4,0.7454806217279057,0.0022315501545969777,747.7973894701302,1.9498445997580452e-5,0.8791941861391044,0.8210596192003762,Allequash Lake,46.038317,89.620617
AL,1986-11-03,4,0.5434402914317081,0.26044023863402593,0.06677106442211493,0.017775845311780652,0.007756748371082842,0.0646470955652717,85,7.6850000000000005,771.5,9.524999999999999,6.4,0.7433701008653806,0.002100754888067647,745.5488656269063,2.065380155810527e-5,0.8884274397996297,0.8178746996898028,Allequash Lake,46.038317,89.620617
AL,1986-11-03,7,0.5434402914317081,0.26743468422135364,0.06698855974596546,0.017392193974116326,0.00930809804529941,0.06516760358109515,84,7.67,775,9.23,6.4,0.7188291170266413,0.0019624380406941936,720.8654863788083,2.1379620895022326e-5,0.8952557293731435,0.79526725669373,Allequash Lake,46.038317,89.620617
AL,1987-02-24,0,0.5828634163381405,0.2789549475416581,0.07873330723389448,0.01969410200010231,0.03243731136998279,0.10784926087861753,98,7.125,926.5,12.53,0.4,0.8151460210843062,5.216997848986354e-4,815.6046075130478,7.498942093324559e-5,0.9602457731137956,0.9559542931178052,Allequash Lake,46.038317,89.620617
AL,1987-04-15,0,0.5379509955586605,0.26414318041555235,0.06785854104136761,0.018671031766330757,0.011000479508081121,0.07141369977097647,83,7.28,804,10.67,7,0.7629294230807069,8.642047905562862e-4,763.7799563859838,5.248074602497723e-5,0.8886237487819112,0.8462078071503207,Allequash Lake,46.038317,89.620617
AL,1987-04-15,4,0.5189879734517691,0.27154906397860523,0.06785854104136761,0.01969410200010231,0.01043635235382055,0.07162190297730585,84,7.21,812,10.76,6.6,0.7497399766005421,7.14077852980769e-4,750.4236218066648,6.165950018614822e-5,0.8780896804718442,0.8325123097846493,Allequash Lake,46.038317,89.620617
AL,1987-04-15,7,0.5339587803782623,0.27154906397860523,0.0695985036321719,0.01905468310399509,0.011564606662341692,0.07130959816781178,84,7.19,819.5,10.64,6.3,0.7348226198903326,6.622417014207436e-4,735.449112155658,6.456542290346549e-5,0.8941610310930345,0.8183590664219068,Allequash Lake,46.038317,89.620617
AL,1987-08-13,0,0.5678926094116472,0.26126311458547624,0.06785854104136761,0.015218169727351783,0.008320875525343413,0.06547990839058922,86.5,9.095,814.5,8.85,21.9,0.6975253323652005,0.0761038979693751,783.5282990020817,8.035261221856162e-7,0.9122324347658428,0.8474300142505082,Allequash Lake,46.038317,89.620617
AL,1987-08-13,4,0.5708867707969459,0.26332030446410204,0.06742355039366654,0.015601821065016114,0.007897780159647984,0.06454299396210701,83,8.66,822,9.34,21.9,0.7586038660681118,0.03039918696552884,792.634434746856,2.1877616239495517e-6,0.9172324467197306,0.8614438271553956,Allequash Lake,46.038317,89.620617
AL,1987-08-13,6,0.7220919207545287,0.28142357539600904,0.06916351298447083,0.021484474909202515,0.01043635235382055,0.03497813866333541,NA,7.17,1070,14.78,17,1.0501808492711162,0.0012149475322649132,1051.4021985953977,6.760829753919819e-5,1.094163484044211,1.096810287820537,Allequash Lake,46.038317,89.620617
AL,1987-08-13,7,0.811417735415939,0.29376671466776383,0.07177345687067728,0.026088290961174487,0.012410797393732546,0.014990630855715177,113,7,1294,19.01,14.8,1.2521409404298702,9.265290827456617e-4,1253.0058171410599,9.999999999999999e-5,1.2030461979155547,1.2804688977620635,Allequash Lake,46.038317,89.620617
AL,1987-11-05,0,0.5753780128748939,0.26249742851265173,0.07046848492757406,0.018159496649444985,0.007897780159647984,0.0757859671038934,91,7.53,783,10.31,5.7,0.7831322987960339,0.001515637959796531,784.6816711399867,2.951209226666384e-5,0.9265034229645646,0.8683316840193718,Allequash Lake,46.038317,89.620617
AL,1987-11-05,4,0.5753780128748939,0.26414318041555235,0.0695985036321719,0.018159496649444985,0.007897780159647984,0.07516135748490527,92,7.53,779,10.32,5.6,0.7837211473606502,0.0015120527363090153,785.266308371696,2.951209226666384e-5,0.9272791935720631,0.8682923377415126,Allequash Lake,46.038317,89.620617
AL,1987-11-05,7,0.588602225659963,0.26537749434272784,0.07003349427987299,0.018926799324773647,0.011423574873776548,0.07422444305642306,92,7.545,784,10.13,5.5,0.771385224719694,0.0015357447658390978,772.9568366475319,2.8510182675039097e-5,0.9429400136073376,0.8585689874157326,Allequash Lake,46.038317,89.620617
AL,1988-03-02,0,0.7071211138280353,0.2995268463279161,0.07960328852929661,0.02199601002608829,0.011000479508081121,0.10680824484697064,111,7.02,927,13.89,0.2,0.8514082688594122,4.249306929924602e-4,851.7457429339061,9.549925860214369e-5,1.1082472587113363,0.9696419239074564,Allequash Lake,46.038317,89.620617
AL,1988-03-02,4,0.7071211138280353,0.2892408969347871,0.07220844751837835,0.021356591129981072,0.010013256988125122,0.08328128253175099,107.5,6.94,888.5,13.96,4,0.8378241790418456,3.9492294254240683e-4,838.1148642119208,1.1481536214968817e-4,1.089927049411182,0.9315136415042641,Allequash Lake,46.038317,89.620617
AL,1988-03-02,6,0.7071211138280353,0.29541246657066444,0.07612336334768802,0.022251777584531177,0.00987222519955998,0.08099104726212784,NA,6.92,930,15,4.4,0.8912629293133493,4.063888316832066e-4,891.5592871014545,1.2022644346174132e-4,1.1009087213309192,0.9825325906067203,Allequash Lake,46.038317,89.620617
AL,1988-03-02,7,0.7535306153001646,0.3102242336967702,0.07438340075688372,0.024297918052074274,0.01043635235382055,0.07974182802415157,113,6.92,951,15.81,4.3,0.9386837030112299,4.266435331317367e-4,938.9999450352275,1.2022644346174132e-4,1.162436167805893,1.0292885269223337,Allequash Lake,46.038317,89.620617
AL,1988-04-26,0,0.6093118419082788,0.2567372968524995,0.06524859715516117,0.018926799324773647,0.00930809804529941,0.0811992504684572,93,7.58,795,9.57,7.3,0.7359714450711231,0.001678566674245301,737.7073827128124,2.6302679918953814e-5,0.950224535240713,0.828157360259125,Allequash Lake,46.038317,89.620617
AL,1988-04-26,4,0.5903488198013872,0.26044023863402593,0.0661185784505633,0.019182566883216533,0.00930809804529941,0.08130335207162191,93,7.640000000000001,797,9.905,6.8,0.7684807328302998,0.0019820831758286016,770.5318493323057,2.2908676527677698e-5,0.936090203769193,0.8610742661230497,Allequash Lake,46.038317,89.620617
