lakeid,sampledate,depth,ca,mg,na,k,cl,so4,cond,ph,alk,dic,temp,bicarbonate,carbonate,alkalinity_calculated,Lake,Lat,Long
AL,1985-08-19,0,10.905000000000001,3.07,1.395,0.6950000000000001,0.275,2.725,84.5,7.48,785.5,9.754999999999999,18.1,45.74046942437168,0.054568477650193924,751.5961914360163,Allequash Lake,46.038317,89.620617
AL,1985-08-19,4,10.97,3.08,1.4,0.68,0.26,2.69,85,7.46,788,9.61,18.1,44.9020957158489,0.051157325551137285,737.7329965915137,Allequash Lake,46.038317,89.620617
AL,1985-08-19,7,11.03,3.06,1.4,0.72,0.26,2.68,85,7.45,787,9.97,18.1,46.49945348758008,0.05177129986029543,763.9276578963768,Allequash Lake,46.038317,89.620617
AL,1986-03-03,0.5,10.78,3,1.6,0.67,0.35,4.54,NA,6.79,735,11.16,NA,NA,NA,NA,Allequash Lake,46.038317,89.620617
AL,1986-03-03,4,11.07,3.11,1.45,0.72,0.39,4.33,88,6.67,739,11.99,2.6,34.831584370163185,0.004141973289408208,570.7807074749721,Allequash Lake,46.038317,89.620617
AL,1986-03-03,7,13.985,3.7199999999999998,1.58,0.825,0.375,3.53,106,6.825,1049.5,15.41,4.2,52.12395357166538,0.009330984226714426,854.4244279912035,Allequash Lake,46.038317,89.620617
AL,1986-04-24,0,10.04,2.82,1.38,0.69,0.31,3.91,80,7.65,695,9.01,8.4,42.82032968513239,0.05830808068010093,703.8101968262407,Allequash Lake,46.038317,89.620617
AL,1986-04-24,4,10.09,2.805,1.37,0.685,0.325,3.9050000000000002,80,7.645,698,8.9,7.8,42.2296305362175,0.055841211312639236,694.0395909152876,Allequash Lake,46.038317,89.620617
AL,1986-04-24,7,10.14,2.74,1.38,0.69,0.32,3.92,80,7.56,698,9.05,7.5,42.33406753982488,0.045616467623800526,695.3842979311016,Allequash Lake,46.038317,89.620617
AL,1986-08-13,0,11.1,3.2,1.49,0.62,0.29,3.44,83,8.375,765.5,8.99,20.8,44.770482660253634,0.446615211591096,750.3466859399675,Allequash Lake,46.038317,89.620617
AL,1986-08-13,4,10.9,3.23,1.5,0.66,0.29,3.35,NA,8,772,9.36,20.5,46.2513993493488,0.19324859433551908,765.1497919195366,Allequash Lake,46.038317,89.620617
AL,1986-08-13,6,12.73,3.43,1.54,0.79,0.34,2.7,94,7.09,915,12.93,18.5,54.68910679955725,0.02683450027881371,897.1790555415298,Allequash Lake,46.038317,89.620617
AL,1986-08-13,7,16.42,3.68,1.55,0.99,0.43,0.96,120,6.96,1299,17.86,15.6,70.60106739365155,0.023913764155371397,1157.8009741802293,Allequash Lake,46.038317,89.620617
